at,userName,score,content,sentiment,confidence
2026-04-14 18:57:23,오현경,1,"친구목록에도 광고, 업데이트한 친구에도 광고, 업데이트한 친구 누르면 소식 뜨고 또 광고... 광고에 미친건가?? 자동 업데이트 꺼놔서 그런건지 채팅목록 위에 고정해놓은 것도 맘대로 풀려서 다시 일일이 순서대로 고정하고 업데이트 해본건데 업데이트한 친구 프로필 보고 싶지 소식 안 보고 싶으니까 소식 좀 없애요. 소식은 소식 탭에서 볼 사람만 보면 되잖아!!!",부정,0.99
2025-11-25 20:26:09,김사랑,3,"연락을 편하고 빠르게 익명으로도 보낼 수 있다는 건 좋은 점이지만, 업데이트로 이 앱을 조금 안 좋게 만든 거 아닐까 생각합니다. 이름 설정을 편하게 할 수 있었는데 하는 법이 너무 어려워 특히나 노인,어린이는 더 어렵게 받아들이지않을까 싶습니다. 친구를 한번에 보기도 어렵고 스토리까지 이해가 안 되는 부분이 너무 많았습니다. 이제 다른 SNS를 너무 따라가지않나 싶습니다. 추천하는 앱이지만 이 업데이트는 꼭 필요했던걸까요? 😅",부정,0.79
2025-11-05 18:58:10,이시은,1,전버전이 훨씬 더 좋습니다 이번 업데이트를 후 갑자기 사용법도 어려워지고 인스타처럼 해놔서 처음 쓰는 사람한텐 별로일것 같네요. 이렇게 이용자들 동의 구하지 않고 막 해도 되나요? 그리고 제가 원치 않는 게시글이 계속 함부로 게시되고 제 프로필도 꾸밀곳이 더 좁아진거 저만 그런건가요?다른 sns와 차별화 된 점에서 카톡을 사용했는데 그것조차 바꿔버리면 어쩌라는 거죠? 숏폼 기능은 뭐 기타에 넣어놓든가 그냥 오픈 채팅 들어가기 전에 숏폼 구경하고 들어가라- 뭐 그런거에요? 이런 기능 좀 없어졌으면 좋겠네요. 이익 볼려다가 손해 보신거 같은데 다시 원래대로 바꾸시려면 구버전으로 다시 업뎃 하는게 더 이득이실거에요. 이젠 어디에 무슨 기능이 있는지 몰겠어서 다시 찾아봐야겠어요. 제발 다른 sns 베껴서 이익창출 하지 말고요.. 여기 리뷰들 보니 최신에 쓰인 리뷰들은 싹다 비판적 카테고리에 있네요. 구버전 업데이트 시급함.게다가 이번 업뎃엔 사라질줄 알았는데 그대로고 챗gpt기능은 또 왜?,부정,0.98
2025-10-01 14:34:44,문현준,1,대규모 업데이트 후 메세지 딜레이 상황 있습니다 채팅목록이 새로운 메세지와 새로 도착한 시간이 보이지만 채팅안으로 들어가면 해당메세지가 없습니다. 내가보낼때도 마찬가지로 비행기가 오랫동안 떠있습니다. 인터넷 상태 문제없습니다 이런 현상이 있을때 다른 앱에 인터넷은 아무문제 없이 잘됩니다. 급하게 진행하신건지 안전성이 떨어집니다,부정,0.98
2025-10-12 20:55:46,윤지훈,1,"사용하기에 상당히 불편해졌습니다. 기존 카카오톡은 지인 및 친구들과 이야기할때 사용하기 좋은 매체였습니다. 다만, 이번 업데이트를 통해 기존과 달라진 점, 또 그 달라진 점들 중 불편한 점도 생겼습니다. 첫번째로 프로필입니다. 프로필은 기존엔 화면에 꽉 차는 형태로, 꾸밀 수 있는 공간이 넓었습니다. 다만 이번에 게시물 기능이 생기며 게시물을 아래에 표시해 멀티프로필, 기본프로필을 모두 수정해야 했으며, 자신이 바라지 않음에도 기존 친구 탭에 자신이 올린 사진들이나 상태메시지가 게시되는 불편한 상황이 발생하고 있습니다. 또한 프로필 사진을 넘길 수 없어 프로필 사진을 구경하기도 까다로워졌으며, 프로필 사진을 확대할 때도 확대 상태에서 고정이 풀려버리는 불편한 업데이트가 되었습니다. 두번째로 불편한 점은 숏폼 기능입니다. 메신저 앱에 숏폼 기능이 추가된 것은 이례적입니다. 다른 메신저 앱엔 숏폼 기능이 존재하지 않으며, 필요 또한 없습니다. 이번 업데이트가 취소되길 바래 봅니다.",부정,0.94
2025-10-12 18:04:36,이서영,1,이번 업데이트는 무슨 생각으로 진행하고 결제때린건지 모르겠네요;; sns화가 진심으로 카카오톡 기능에 적합하다고 생각한건가?? 심지어 자동 업데이트도 꺼놨는데 휴대폰 전원이 한번 나가니까 업데이트가 되어있네요?? 원래대로 돌아가지 않으면 대체할 거 나오자마자 갈아타려고 대기중입니다...,부정,0.95
2025-10-11 18:02:57,네이,1,이야~ 자동 업데이트 막아놓은지가 몇 년이고 꾸준히 확인하고 사는데 이걸 강제 업데이트 해버리네요. 이번만큼 최악인 적이 없었습니다. 이게 메신저앱이야 상시확인강제필수sns앱이야? 다른 sns 안하는 이유가 뭔데 카톡이 그걸 따라갑니까? 다른 메신저앱 쓸만한거 보이면 바로 옮깁니다.,부정,1.0
2025-10-09 16:04:32,권민서,1,진짜 업데이트 최악이네요ㅡㅡ 톡백으로 사용하는 시각장애인입니다. 업데이트 되고나니까 친구탭 접근성 개판됬어요ㅡㅡ 친구탭에 피드 없을때가 비교도 안되게 편했는데 대체 무슨 생각으로 바꾼건지 이해가 안되네요ㅡㅡ 그리고 대화를 안했던 상대와의 채팅방을 들어가면 추천이모티콘이 뜨는데 이게 떠있으면 블루투스자판을 연결했을때 입력이 안되서 이모티콘을 눌러 전송한다음에야 입력이 되는데 이거 너무 불편해요. 이모티콘으로 인사하기 부적절한 상대일때는 특히 난감해요ㅡㅡ 이모티콘 추천기능 필요없으니까 제발 이것도 좀 없애주세요ㅡㅡ,부정,0.99
2025-05-24 14:24:48,SJ H,4,"카카오톡 너무 애용하고 있고 좋은 기능들 많다고 느낍니다. 따로 불편한 것도없고 좋았는데 최근에 생긴 기능이 너무 불편합니다. 톡(내용)을 보내기 전에 글을 고치거나, 미리 적어두고 냅두거나, 고민하는 등의 이유로 미리 써두는데 이게 💬 이런 모양으로 상대방에게 뜨더라고요? 형용하기 어렵지만 정말 거슬리고 불편해요. 제발 없애주셨으면 합니다... 인스타나 디스코드 등의 앱에서 이 기능이 있어서 더 안 써왔는데 카톡까지 생겨버리니까 골이 땡겨서요 제발 다시 생각해주십사...",부정,0.95
2025-09-26 16:16:25,소율,1,살다 살다 이런 업데이트는 또 처음 보네요. 카톡을 인스타 주니어로 만들려는 계획인 건가요? 실용성은 확인해 보셨나요? 실수로 멀프를 지워버렸는데 멀프를 만드는 곳이 보이지도 않네요. 그리고 다른 사람 사진을 피드로 띄우는 건 대체 누구 아이디어입니까;; 친구들 찾기가 더 불편해졌어요. 요즘 카톡 사용하는 빈도가 늘어나고 있었는데 그냥 라인이나 인스타로 넘어가겠습니다. 정말로 실망스럽네요.,부정,1.0
